respondent_id,persona,mojo_driver,sdt_stage,A1_role,A2_department,A3_tenure,A4_ai_experience,B1_ai_improves_quality,B2_interested_in_learning,B3_motivated_to_experiment,B4_aligns_with_values,B5_use_because_expected_REVERSE,B5_scored,C1_sufficient_time,C2_manager_support,C3_tool_access,C4_clear_guidelines,C5_peer_learning,D1_confident_using_ai,D2_prompt_writing,D3_evaluate_output,D4_understand_limits,D5_know_when_to_use,E1_improved_productivity,E2_improved_quality,E3_concrete_examples,E4_team_benefit,E5_positive_impact,MOJO_M_score,MOJO_O_score,MOJO_J_score,MOJO_Outcome_score,F1_biggest_challenge,F2_helpful_situation,F3_what_would_help,G1_adoption_stage
R138,Overwhelmed Learner,Moderate Motivation + Moderate Opportunity + Low Capability,Introjected / Identified Regulation,Manager,Engineering,1–3 years,Less than 3 months,4,3,4,3,3,3,2,4,3,2,3,3,2,2,3,2,3,3,2,1,2,3.4,2.8,2.4,2.2,I'd like to use AI for my work but I genuinely don't know how to write a prompt that gets good results.,Someone on my team helped me set up an AI tool and showed me a specific prompt. That one use case I can now do reliably.,A starter kit: here are the 3–5 things someone in your role should know how to do with AI. Give me a starting point.,Use occasionally
R169,Mandated but Disengaged,Low Motivation + Moderate-High Opportunity + Low-Moderate Capability,External Regulation,Director+,Finance,More than 5 years,3–12 months,1,3,2,2,4,2,3,3,4,4,3,3,3,2,2,3,2,1,2,2,1,2.0,3.4,2.6,1.6,The AI outputs don't match the standards or voice of our work. I spend more time fixing AI content than starting from scratch.,"When I use AI on tasks I don't care about — like generating status update templates — it's fine. On work I care about, I'd rather do it myself.","Less mandating, more inviting. Make AI adoption something I could genuinely want, not something imposed on me.","Tried a few, don't use regularly"
R062,Willing but Blocked,High Motivation + Low Opportunity + Moderate Capability,Identified Regulation,Director+,Sales,1–3 years,3–12 months,3,4,3,4,2,4,2,1,1,2,2,1,2,2,3,3,1,2,3,2,2,3.6,1.6,2.2,2.0,My team culture doesn't encourage experimentation. Making a mistake with AI would feel risky in our environment.,I used it briefly to analyze customer survey data and it found patterns I hadn't noticed. I want to do that every quarter.,"Faster IT procurement. If a tool is safe to use, we should be able to access it within days, not months.",Use occasionally
R074,Skeptical Observer,Low Motivation + Moderate Opportunity + Moderate Capability,External / Introjected Regulation,Manager,Marketing,More than 5 years,Less than 3 months,3,1,3,1,3,3,2,3,3,5,4,4,3,2,4,2,3,2,2,2,3,2.2,3.4,3.0,2.4,"I've heard too many stories of AI errors causing problems. Until reliability improves, I'm cautious about depending on it.",I used it once to generate a first draft of a policy document. It was a decent starting point but needed significant revision.,"Show me domain-specific evidence. I need to see that AI works reliably for my type of work, not just general productivity claims.","Tried a few, don't use regularly"
R034,Willing but Blocked,High Motivation + Low Opportunity + Moderate Capability,Identified Regulation,Manager,HR,More than 5 years,Less than 3 months,4,4,4,4,3,3,2,3,2,2,3,2,2,3,2,4,3,2,3,2,2,3.8,2.4,2.6,2.4,"Our IT department hasn't approved most AI tools yet, so I'm limited to a very narrow set that doesn't cover my needs.",I think AI could transform how we handle onboarding documentation — right now it takes weeks to update it manually.,Leadership needs to explicitly communicate that AI experimentation is encouraged and that mistakes are okay as part of learning.,Use occasionally
R044,Willing but Blocked,High Motivation + Low Opportunity + Moderate Capability,Identified Regulation,IC,Finance,1–3 years,3–12 months,3,4,4,5,3,3,1,2,2,2,2,3,3,4,3,3,3,2,4,4,3,3.8,1.8,3.2,3.2,My team culture doesn't encourage experimentation. Making a mistake with AI would feel risky in our environment.,I used AI to draft a project proposal last month and it saved me at least 3 hours — but then I couldn't replicate it easily because I didn't have consistent access.,A small internal grant or stipend for individuals or teams to experiment with approved AI tools in their workflow.,Active advocate / AI champion
R136,Overwhelmed Learner,Moderate Motivation + Moderate Opportunity + Low Capability,Introjected / Identified Regulation,Manager,HR,More than 5 years,3–12 months,4,3,4,3,3,3,3,3,3,3,3,2,1,2,2,1,1,2,2,3,3,3.4,3.0,1.6,2.2,I don't understand the difference between different AI tools and when to use which. It all blurs together for me.,It helped me write a difficult performance review message — I gave it my notes and it produced a draft that felt professional.,"Regular drop-in sessions where I can ask questions and get help in real time, not just asynchronous courses.",Use occasionally
R142,Overwhelmed Learner,Moderate Motivation + Moderate Opportunity + Low Capability,Introjected / Identified Regulation,IC,Operations,3–5 years,1–2 years,4,4,3,3,4,2,4,4,2,2,2,2,1,2,3,2,1,2,2,3,2,3.2,2.8,2.0,2.0,"The tools change so fast that by the time I learn something, it feels outdated. It's hard to feel like I'm making progress.",I tried using AI for brainstorming campaign names and it gave me several options I wouldn't have thought of. That was actually fun.,A buddy system or mentorship program where a more experienced user walks me through setup and my first use cases.,Use occasionally
R063,Willing but Blocked,High Motivation + Low Opportunity + Moderate Capability,Identified Regulation,IC,Engineering,More than 5 years,3–12 months,3,4,3,3,2,4,1,2,2,2,3,2,2,3,2,4,3,4,3,2,2,3.4,2.0,2.6,2.8,There's no internal resource or person I can ask when I get stuck. I'm trying to figure it out alone and it's slow going.,I used it briefly to analyze customer survey data and it found patterns I hadn't noticed. I want to do that every quarter.,Remove the friction in the approval process. I don't need to submit a ticket to try a writing assistant.,Active advocate / AI champion
R179,Mandated but Disengaged,Low Motivation + Moderate-High Opportunity + Low-Moderate Capability,External Regulation,IC,Design,Less than 1 year,Less than 3 months,3,2,1,3,5,1,4,4,5,3,4,1,3,2,3,2,2,2,2,1,2,2.0,4.0,2.2,1.8,There's a lot of pressure to adopt AI quickly without any support for actually doing it well. It feels rushed.,My team was required to use AI for a process improvement project and the initial output was actually good. But we were given no context for how it worked.,"I need to see someone I respect using AI effectively and authentically — not a polished demo, but real messy work where it actually helped.",Use occasionally
R120,Overwhelmed Learner,Moderate Motivation + Moderate Opportunity + Low Capability,Introjected / Identified Regulation,Executive,Marketing,1–3 years,3–12 months,3,5,4,4,2,4,2,3,3,2,2,1,1,3,2,2,3,3,3,2,2,4.0,2.4,1.8,2.6,The learning curve feels steep. I'm not a technical person and a lot of the training content assumes you already have some background.,I used AI to answer a customer's complex question and the response was accurate and faster than looking it up myself.,A buddy system or mentorship program where a more experienced user walks me through setup and my first use cases.,Use occasionally
R123,Overwhelmed Learner,Moderate Motivation + Moderate Opportunity + Low Capability,Introjected / Identified Regulation,Director+,Operations,1–3 years,3–12 months,3,4,4,4,3,3,4,3,3,2,3,2,1,2,1,2,3,3,3,3,3,3.6,3.0,1.6,3.0,I've had a few bad experiences where AI gave me wrong information and I didn't catch it until later. Now I'm more cautious but also more confused about when it's safe to use.,Someone on my team helped me set up an AI tool and showed me a specific prompt. That one use case I can now do reliably.,A safe environment to practice without fear of doing it wrong or using company data inappropriately.,Use occasionally
R106,Overwhelmed Learner,Moderate Motivation + Moderate Opportunity + Low Capability,Introjected / Identified Regulation,IC,Marketing,More than 5 years,Less than 3 months,4,4,3,3,3,3,3,3,2,2,4,2,2,2,2,2,2,3,1,3,2,3.4,2.8,2.0,2.2,"The tools change so fast that by the time I learn something, it feels outdated. It's hard to feel like I'm making progress.",I used AI to answer a customer's complex question and the response was accurate and faster than looking it up myself.,"Structured, role-specific training — not general overviews but actual use cases relevant to my job. Show me exactly how to do the things I need.",Use occasionally
R054,Willing but Blocked,High Motivation + Low Opportunity + Moderate Capability,Identified Regulation,Director+,Engineering,More than 5 years,Less than 3 months,4,4,4,5,3,3,2,2,3,1,2,3,2,3,2,2,3,2,2,2,3,4.0,2.0,2.4,2.4,My workload doesn't allow me to slow down and experiment. I'd love a protected learning block — even 2 hours a week would help.,"During a hackathon, I used AI to prototype a workflow and it worked. But I haven't been able to apply it since because of tool restrictions.","Standardized onboarding to AI tools when someone joins a team, not something you discover years in on your own.",Use occasionally
R006,Eager Adopter,High Motivation + Moderate Opportunity + High Capability,Integrated / Intrinsic,IC,Data/Analytics,3–5 years,1–2 years,4,4,5,4,3,3,3,4,4,3,4,4,4,4,4,5,4,3,5,4,3,4.0,3.6,4.2,3.8,Team alignment is harder than individual adoption. I use AI constantly but getting colleagues to see its value takes ongoing effort.,AI drafts my performance review templates and development plans based on my notes. Frees up 4–6 hours every cycle.,Better integration between our existing tools and AI APIs. Right now I have to do a lot of copy-paste that should be automated.,Active advocate / AI champion
R163,Mandated but Disengaged,Low Motivation + Moderate-High Opportunity + Low-Moderate Capability,External Regulation,Manager,Product,3–5 years,More than 2 years,2,1,3,2,4,2,4,3,4,2,4,2,3,4,3,4,1,1,2,2,1,2.0,3.4,3.2,1.4,I think AI has potential but the way it's being rolled out here feels top-down and disconnected from actual work realities.,The one time AI felt genuinely useful was when I asked it to identify gaps in a policy document. That felt like an appropriate use.,"Less mandating, more inviting. Make AI adoption something I could genuinely want, not something imposed on me.",Use occasionally
R004,Eager Adopter,High Motivation + Moderate Opportunity + High Capability,Integrated / Intrinsic,Manager,Data/Analytics,3–5 years,Less than 3 months,5,4,4,4,1,5,4,4,4,4,4,4,3,4,5,4,4,4,4,5,4,4.4,4.0,4.0,4.2,The biggest challenge is getting our internal tools to integrate smoothly with AI APIs — we still have too many manual handoffs.,Last quarter I used AI to synthesize 300 pages of user research into a structured brief — it saved me two full days of work.,Dedicated sandbox environments where teams can test AI integrations without compliance risk.,Active advocate / AI champion
R168,Mandated but Disengaged,Low Motivation + Moderate-High Opportunity + Low-Moderate Capability,External Regulation,Executive,Finance,More than 5 years,Less than 3 months,1,2,2,2,4,2,4,3,4,3,3,2,1,2,3,2,1,3,2,2,3,1.8,3.4,2.0,2.2,"My team's adoption of AI feels performative — we use it to check a box, not to improve anything meaningful.",My team was required to use AI for a process improvement project and the initial output was actually good. But we were given no context for how it worked.,Address the underlying job security concerns honestly. The message that 'AI won't replace you' rings hollow without more transparency.,Use occasionally
R050,Willing but Blocked,High Motivation + Low Opportunity + Moderate Capability,Identified Regulation,Executive,Engineering,3–5 years,3–12 months,4,4,4,4,2,4,2,3,2,2,2,3,2,5,3,3,3,4,3,3,3,4.0,2.2,3.2,3.2,"I need manager approval to use AI on anything client-related, and the process takes weeks. By then the deadline has passed.",I can imagine AI making our RFP response process so much faster — we do it manually every time and it's exhausting.,"Standardized onboarding to AI tools when someone joins a team, not something you discover years in on your own.",Use occasionally
R036,Willing but Blocked,High Motivation + Low Opportunity + Moderate Capability,Identified Regulation,Manager,Operations,Less than 1 year,3–12 months,4,3,4,4,3,3,1,3,2,2,2,2,4,3,2,2,1,3,2,2,3,3.6,2.0,2.6,2.2,"Access is inconsistent — some teammates have paid tools through a team license, others are using free versions. It's not equitable.",I used AI to draft a project proposal last month and it saved me at least 3 hours — but then I couldn't replicate it easily because I didn't have consistent access.,"We need a clear, simple list of approved AI tools with guidance on what data is safe to use with each one.",Use occasionally
R081,Skeptical Observer,Low Motivation + Moderate Opportunity + Moderate Capability,External / Introjected Regulation,IC,Product,More than 5 years,1–2 years,1,2,3,3,4,2,3,3,4,3,3,4,3,2,2,2,2,3,3,3,2,2.2,3.2,2.6,2.6,"The AI tools available to me don't integrate with our existing systems, so I'd have to rebuild half my workflow to use them.","In theory, AI could help us process our quarterly reporting data faster. But our data is too proprietary to put into an external tool.",Clear data privacy guarantees with documentation I can share with our legal team. Right now it's too ambiguous.,"Tried a few, don't use regularly"
R078,Skeptical Observer,Low Motivation + Moderate Opportunity + Moderate Capability,External / Introjected Regulation,Manager,Engineering,1–3 years,Not at all,2,2,3,2,4,2,4,3,2,3,3,2,1,2,3,3,3,3,3,3,2,2.2,3.0,2.2,2.8,"The AI tools available to me don't integrate with our existing systems, so I'd have to rebuild half my workflow to use them.",I occasionally use AI for brainstorming when I'm stuck on a framing problem. But I always heavily rewrite the output.,Clear data privacy guarantees with documentation I can share with our legal team. Right now it's too ambiguous.,Regular part of daily workflow
R035,Willing but Blocked,High Motivation + Low Opportunity + Moderate Capability,Identified Regulation,Director+,Engineering,1–3 years,1–2 years,4,4,4,4,3,3,3,2,3,2,2,4,3,3,3,2,3,3,3,3,3,3.8,2.4,3.0,3.0,"I want to use AI for data analysis but don't have access to the right tools, and our IT procurement process is very slow.",I tried using AI to summarize lengthy compliance documents and it was genuinely faster and more accurate than my usual process.,Remove the friction in the approval process. I don't need to submit a ticket to try a writing assistant.,Use occasionally
R008,Eager Adopter,High Motivation + Moderate Opportunity + High Capability,Integrated / Intrinsic,Director+,Engineering,More than 5 years,More than 2 years,5,3,5,4,2,4,4,4,4,3,3,4,4,4,5,4,3,4,4,4,4,4.2,3.6,4.2,3.8,"Keeping up with how fast these tools are evolving is genuinely challenging. By the time I master one capability, three more emerge.",AI drafts my performance review templates and development plans based on my notes. Frees up 4–6 hours every cycle.,"A cross-functional AI community where practitioners can share prompts, workflows, and lessons learned.",Active advocate / AI champion
R111,Overwhelmed Learner,Moderate Motivation + Moderate Opportunity + Low Capability,Introjected / Identified Regulation,IC,Operations,1–3 years,Less than 3 months,4,3,2,3,3,3,3,4,3,2,2,1,2,2,3,3,2,2,3,2,4,3.0,2.8,2.2,2.6,I tried a few tools based on recommendations from colleagues but couldn't get results that felt useful or reliable.,I used AI to clean up an email I'd written and the rewrite was better than mine — I sent the AI version and got great feedback.,"Regular drop-in sessions where I can ask questions and get help in real time, not just asynchronous courses.",Use occasionally
R092,Skeptical Observer,Low Motivation + Moderate Opportunity + Moderate Capability,External / Introjected Regulation,Manager,HR,More than 5 years,3–12 months,4,2,2,4,4,2,2,3,3,3,2,4,3,3,3,4,2,3,3,3,2,2.8,2.6,3.4,2.6,There's a lot of hype but I haven't seen compelling evidence that AI delivers real performance improvement for my specific role.,"I've found it useful for restructuring long emails — it tightens my writing without changing my meaning, which I do appreciate.",Clear data privacy guarantees with documentation I can share with our legal team. Right now it's too ambiguous.,Use occasionally
R084,Skeptical Observer,Low Motivation + Moderate Opportunity + Moderate Capability,External / Introjected Regulation,Director+,Finance,More than 5 years,More than 2 years,2,3,3,2,5,1,3,4,3,3,3,3,3,4,3,3,3,2,3,2,3,2.2,3.2,3.2,2.6,My work requires precision and judgment that AI consistently gets wrong. I spend more time correcting its output than I save.,I occasionally use AI for brainstorming when I'm stuck on a framing problem. But I always heavily rewrite the output.,More transparency about how these models work and what data they use. Trust requires understanding.,"Tried a few, don't use regularly"
R159,Mandated but Disengaged,Low Motivation + Moderate-High Opportunity + Low-Moderate Capability,External Regulation,IC,Operations,More than 5 years,3–12 months,2,1,2,3,5,1,4,4,3,4,4,3,2,2,1,3,2,2,1,2,1,1.8,3.8,2.2,1.6,Using AI on my work makes me feel like my expertise and judgment are being replaced by a shortcut. That's demoralizing.,"I can see AI being helpful for my work in theory, but the mandated rollout hasn't demonstrated the value proposition to me personally.",Give me autonomy. Let me decide when AI is appropriate for my work rather than telling me I have to use it everywhere.,Don't use AI tools
R164,Mandated but Disengaged,Low Motivation + Moderate-High Opportunity + Low-Moderate Capability,External Regulation,Manager,Product,1–3 years,3–12 months,2,1,2,2,4,2,4,3,4,3,3,3,2,2,2,2,1,2,3,1,3,1.8,3.4,2.2,2.0,I haven't seen any evidence that using AI has improved outcomes for my team. The case for it hasn't been made to me convincingly.,"There are cases where AI is clearly useful — summarizing long documents, generating boilerplate. I don't object to those. It's the forced use I resist.","I need to see someone I respect using AI effectively and authentically — not a polished demo, but real messy work where it actually helped.",Use occasionally
R090,Skeptical Observer,Low Motivation + Moderate Opportunity + Moderate Capability,External / Introjected Regulation,Manager,Marketing,More than 5 years,3–12 months,1,2,1,3,4,2,2,3,4,3,3,3,3,2,3,4,3,2,2,3,1,1.8,3.0,3.0,2.2,"AI seems better suited to volume-oriented work. My work is about quality and judgment, not generating large amounts of content quickly.","If AI could reliably handle our compliance documentation accurately, that would be a meaningful time savings — but accuracy needs to improve first.",A structured pilot program where I can evaluate AI tools against my real work tasks — with clear criteria for success or failure.,Don't use AI tools
R009,Eager Adopter,High Motivation + Moderate Opportunity + High Capability,Integrated / Intrinsic,Manager,Product,Less than 1 year,3–12 months,4,4,4,4,2,4,3,3,4,5,4,4,4,4,4,5,4,5,4,4,3,4.0,3.8,4.2,4.0,I'd love access to more powerful or specialized models for my domain. The approved tools are good but not always the best for every task.,AI helped me find a critical bug pattern across a codebase I'd never worked in before — would have taken a week manually.,Better integration between our existing tools and AI APIs. Right now I have to do a lot of copy-paste that should be automated.,Active advocate / AI champion
R014,Eager Adopter,High Motivation + Moderate Opportunity + High Capability,Integrated / Intrinsic,Manager,Engineering,More than 5 years,3–12 months,3,4,5,4,2,4,3,3,3,4,3,4,4,5,4,4,4,4,4,4,5,4.0,3.2,4.2,4.2,"Sometimes the company's data governance policies slow us down. I understand the need, but it can be frustrating when I know AI could help immediately.",Used AI to generate test cases I hadn't thought of — caught edge cases that would have gone to production.,"A cross-functional AI community where practitioners can share prompts, workflows, and lessons learned.",Regular part of daily workflow
R060,Willing but Blocked,High Motivation + Low Opportunity + Moderate Capability,Identified Regulation,Manager,Marketing,1–3 years,1–2 years,3,3,4,5,3,3,2,2,2,2,3,2,2,5,4,3,2,2,2,3,3,3.6,2.2,3.2,2.4,I genuinely want to use AI more but simply don't have time built into my schedule to explore it. My days are back-to-back meetings.,I used it briefly to analyze customer survey data and it found patterns I hadn't noticed. I want to do that every quarter.,"We need a clear, simple list of approved AI tools with guidance on what data is safe to use with each one.",Regular part of daily workflow
R155,Mandated but Disengaged,Low Motivation + Moderate-High Opportunity + Low-Moderate Capability,External Regulation,Manager,Data/Analytics,Less than 1 year,3–12 months,3,2,2,3,4,2,3,3,4,3,3,3,3,3,2,3,2,2,2,1,3,2.4,3.2,2.8,2.0,There's a lot of pressure to adopt AI quickly without any support for actually doing it well. It feels rushed.,My team was required to use AI for a process improvement project and the initial output was actually good. But we were given no context for how it worked.,"Give me a voice in what 'good AI adoption' looks like for my role. Right now this is happening to us, not with us.","Tried a few, don't use regularly"
R132,Overwhelmed Learner,Moderate Motivation + Moderate Opportunity + Low Capability,Introjected / Identified Regulation,IC,HR,3–5 years,Less than 3 months,4,4,3,4,4,2,2,3,3,3,4,1,2,2,2,2,2,3,2,3,2,3.4,3.0,1.8,2.4,I started a course on AI prompting but never finished it — I got lost and didn't have anyone to ask for help.,I tried using AI for brainstorming campaign names and it gave me several options I wouldn't have thought of. That was actually fun.,Someone I can ask dumb questions to without feeling judged. Right now there's no one to go to when I'm stuck.,"Tried a few, don't use regularly"
R018,Eager Adopter,High Motivation + Moderate Opportunity + High Capability,Integrated / Intrinsic,Manager,Data/Analytics,3–5 years,1–2 years,4,5,4,4,2,4,5,4,3,3,4,4,3,4,4,3,4,4,4,4,4,4.2,3.8,3.6,4.0,I'd love access to more powerful or specialized models for my domain. The approved tools are good but not always the best for every task.,"Built a prompt library for our team that handles 80% of our recurring writing tasks — consistent quality, faster delivery.","A cross-functional AI community where practitioners can share prompts, workflows, and lessons learned.",Active advocate / AI champion
R073,Skeptical Observer,Low Motivation + Moderate Opportunity + Moderate Capability,External / Introjected Regulation,IC,Operations,1–3 years,More than 2 years,3,2,3,2,3,3,4,3,4,2,3,4,3,4,3,2,2,2,2,3,3,2.6,3.2,3.2,2.4,"I've heard too many stories of AI errors causing problems. Until reliability improves, I'm cautious about depending on it.",I could see AI being helpful for summarizing long research reports — that's a low-risk use case where errors are easier to spot.,Address the accuracy problem first. Hallucinations and confident errors are a dealbreaker in my field — no amount of training will help if the outputs can't be trusted.,"Tried a few, don't use regularly"
R161,Mandated but Disengaged,Low Motivation + Moderate-High Opportunity + Low-Moderate Capability,External Regulation,Manager,Finance,3–5 years,3–12 months,3,3,2,2,4,2,4,3,3,3,3,2,3,4,3,3,1,3,2,1,2,2.4,3.2,3.0,1.8,I haven't seen any evidence that using AI has improved outcomes for my team. The case for it hasn't been made to me convincingly.,"There are cases where AI is clearly useful — summarizing long documents, generating boilerplate. I don't object to those. It's the forced use I resist.","I need to see someone I respect using AI effectively and authentically — not a polished demo, but real messy work where it actually helped.","Tried a few, don't use regularly"
R135,Overwhelmed Learner,Moderate Motivation + Moderate Opportunity + Low Capability,Introjected / Identified Regulation,Manager,Operations,More than 5 years,3–12 months,4,4,3,4,2,4,3,2,2,3,2,2,1,2,1,1,2,2,3,3,3,3.8,2.4,1.4,2.6,I want to learn but I don't know where to start. There are so many AI tools and I can't tell which ones are actually worth my time.,I tried using AI for brainstorming campaign names and it gave me several options I wouldn't have thought of. That was actually fun.,"Structured, role-specific training — not general overviews but actual use cases relevant to my job. Show me exactly how to do the things I need.",Use occasionally
R151,Mandated but Disengaged,Low Motivation + Moderate-High Opportunity + Low-Moderate Capability,External Regulation,Director+,Sales,3–5 years,3–12 months,1,2,1,1,4,2,3,4,3,3,4,3,3,2,4,2,2,2,1,2,2,1.4,3.4,2.8,1.8,"I use AI because my manager tracks it, not because I find it valuable. That's a frustrating position to be in.",I used AI to help onboard a new team member faster — the training materials it generated were decent and saved some time.,"Connect AI use to outcomes I actually care about — team morale, quality of work, client satisfaction — not just efficiency metrics.",Use occasionally
R166,Mandated but Disengaged,Low Motivation + Moderate-High Opportunity + Low-Moderate Capability,External Regulation,Manager,Marketing,1–3 years,Less than 3 months,1,1,2,2,5,1,3,3,3,4,4,2,3,3,3,1,2,1,2,1,2,1.4,3.4,2.4,1.6,"My team's adoption of AI feels performative — we use it to check a box, not to improve anything meaningful.","I can see AI being helpful for my work in theory, but the mandated rollout hasn't demonstrated the value proposition to me personally.","Connect AI use to outcomes I actually care about — team morale, quality of work, client satisfaction — not just efficiency metrics.",Use occasionally
R064,Willing but Blocked,High Motivation + Low Opportunity + Moderate Capability,Identified Regulation,Manager,Design,3–5 years,3–12 months,4,3,3,4,3,3,3,2,3,1,2,2,3,5,3,3,3,3,2,2,1,3.4,2.2,3.2,2.2,"I need manager approval to use AI on anything client-related, and the process takes weeks. By then the deadline has passed.",I tried using AI to summarize lengthy compliance documents and it was genuinely faster and more accurate than my usual process.,A formal learning program with structure would help enormously. Right now self-directed learning isn't happening because there's no space for it.,"Tried a few, don't use regularly"
R055,Willing but Blocked,High Motivation + Low Opportunity + Moderate Capability,Identified Regulation,Executive,Marketing,Less than 1 year,Less than 3 months,4,4,4,4,2,4,3,2,3,2,3,3,2,3,3,3,3,3,2,2,2,4.0,2.6,2.8,2.4,My team culture doesn't encourage experimentation. Making a mistake with AI would feel risky in our environment.,I tried using AI to summarize lengthy compliance documents and it was genuinely faster and more accurate than my usual process.,"We need a clear, simple list of approved AI tools with guidance on what data is safe to use with each one.",Use occasionally
R108,Overwhelmed Learner,Moderate Motivation + Moderate Opportunity + Low Capability,Introjected / Identified Regulation,Manager,Operations,1–3 years,3–12 months,4,3,3,3,2,4,4,3,2,2,3,2,1,2,2,2,2,3,3,2,3,3.4,2.8,1.8,2.6,I feel like everyone else is further along than me. I'm embarrassed to admit I don't fully understand how to use these tools.,A colleague showed me how to use AI for creating presentation outlines. I've done it twice now and it has helped me get started faster.,"Shorter learning formats — 10-minute videos I can try immediately, not 4-hour courses I'll never finish.",Regular part of daily workflow
R051,Willing but Blocked,High Motivation + Low Opportunity + Moderate Capability,Identified Regulation,Manager,Finance,Less than 1 year,3–12 months,3,4,3,4,2,4,1,3,3,2,3,3,3,2,3,2,3,3,3,2,3,3.6,2.4,2.6,2.8,My team culture doesn't encourage experimentation. Making a mistake with AI would feel risky in our environment.,I can imagine AI making our RFP response process so much faster — we do it manually every time and it's exhausting.,"Faster IT procurement. If a tool is safe to use, we should be able to access it within days, not months.",Regular part of daily workflow
R178,Mandated but Disengaged,Low Motivation + Moderate-High Opportunity + Low-Moderate Capability,External Regulation,Director+,Operations,More than 5 years,3–12 months,2,3,1,2,4,2,5,3,4,3,3,2,2,2,3,3,1,2,2,3,3,2.0,3.6,2.4,2.2,The AI outputs don't match the standards or voice of our work. I spend more time fixing AI content than starting from scratch.,I used AI to help onboard a new team member faster — the training materials it generated were decent and saved some time.,"Give me a voice in what 'good AI adoption' looks like for my role. Right now this is happening to us, not with us.","Tried a few, don't use regularly"
R059,Willing but Blocked,High Motivation + Low Opportunity + Moderate Capability,Identified Regulation,Director+,HR,More than 5 years,3–12 months,4,4,4,4,3,3,2,2,3,2,2,4,3,4,3,4,2,3,3,2,3,3.8,2.2,3.6,2.6,"There's no official training available, and when I try to learn on my own, I don't have the time to apply it before I forget.",I used AI to draft a project proposal last month and it saved me at least 3 hours — but then I couldn't replicate it easily because I didn't have consistent access.,"We need a clear, simple list of approved AI tools with guidance on what data is safe to use with each one.","Tried a few, don't use regularly"
R049,Willing but Blocked,High Motivation + Low Opportunity + Moderate Capability,Identified Regulation,Manager,Operations,1–3 years,3–12 months,5,4,4,4,3,3,2,1,2,2,3,3,2,2,3,3,2,2,4,3,3,4.0,2.0,2.6,2.8,There's no internal resource or person I can ask when I get stuck. I'm trying to figure it out alone and it's slow going.,"When I did have access for a week during a trial, AI helped me turn raw meeting notes into a polished executive summary in minutes.",Remove the friction in the approval process. I don't need to submit a ticket to try a writing assistant.,"Tried a few, don't use regularly"
R089,Skeptical Observer,Low Motivation + Moderate Opportunity + Moderate Capability,External / Introjected Regulation,IC,HR,1–3 years,Less than 3 months,3,3,2,2,4,2,4,4,3,3,3,3,4,3,3,3,2,1,2,2,2,2.4,3.4,3.2,1.8,My work requires precision and judgment that AI consistently gets wrong. I spend more time correcting its output than I save.,I used it once to generate a first draft of a policy document. It was a decent starting point but needed significant revision.,"Help me understand what AI is and isn't appropriate for in my specific role — a practical framework, not a sales pitch.",Don't use AI tools
R022,Eager Adopter,High Motivation + Moderate Opportunity + High Capability,Integrated / Intrinsic,Manager,Engineering,1–3 years,More than 2 years,4,4,4,4,2,4,3,4,4,3,3,4,5,4,4,4,3,5,3,5,4,4.0,3.4,4.2,4.0,Getting approval to use AI-generated outputs in client-facing work is still a slow process — we need clearer policy guardrails.,AI drafts my performance review templates and development plans based on my notes. Frees up 4–6 hours every cycle.,Clearer policies so I can confidently use AI on client deliverables without a 3-step approval process.,Regular part of daily workflow
R058,Willing but Blocked,High Motivation + Low Opportunity + Moderate Capability,Identified Regulation,Manager,HR,More than 5 years,3–12 months,4,4,3,4,3,3,2,3,2,3,1,2,3,3,2,3,3,4,2,3,3,3.6,2.2,2.6,3.0,My team culture doesn't encourage experimentation. Making a mistake with AI would feel risky in our environment.,I used it briefly to analyze customer survey data and it found patterns I hadn't noticed. I want to do that every quarter.,A small internal grant or stipend for individuals or teams to experiment with approved AI tools in their workflow.,Use occasionally
R175,Mandated but Disengaged,Low Motivation + Moderate-High Opportunity + Low-Moderate Capability,External Regulation,Executive,Engineering,3–5 years,3–12 months,1,1,2,1,4,2,3,3,3,3,4,3,2,3,3,4,3,1,2,1,2,1.4,3.2,3.0,1.8,"I use AI because my manager tracks it, not because I find it valuable. That's a frustrating position to be in.",The one time AI felt genuinely useful was when I asked it to identify gaps in a policy document. That felt like an appropriate use.,"Give me a voice in what 'good AI adoption' looks like for my role. Right now this is happening to us, not with us.",Active advocate / AI champion
R130,Overwhelmed Learner,Moderate Motivation + Moderate Opportunity + Low Capability,Introjected / Identified Regulation,Director+,Finance,1–3 years,3–12 months,3,3,3,3,4,2,2,2,3,3,2,2,2,2,2,3,3,2,3,2,2,2.8,2.4,2.2,2.4,I feel like everyone else is further along than me. I'm embarrassed to admit I don't fully understand how to use these tools.,I used AI to clean up an email I'd written and the rewrite was better than mine — I sent the AI version and got great feedback.,A starter kit: here are the 3–5 things someone in your role should know how to do with AI. Give me a starting point.,Regular part of daily workflow
R038,Willing but Blocked,High Motivation + Low Opportunity + Moderate Capability,Identified Regulation,IC,Marketing,3–5 years,More than 2 years,4,5,4,5,2,4,2,3,3,1,2,2,3,3,3,3,2,2,4,3,2,4.4,2.2,2.8,2.6,"Our IT department hasn't approved most AI tools yet, so I'm limited to a very narrow set that doesn't cover my needs.","If I had access, I'd use AI to handle the repetitive parts of my reporting so I could focus on insights and recommendations.",Leadership needs to explicitly communicate that AI experimentation is encouraged and that mistakes are okay as part of learning.,"Tried a few, don't use regularly"
